zipcode,Grade,start_date,end_date,InPerson,Total_students,Capacity
15106,SECONDARY,2021-05-10,2021-05-24,1.8835733085616968,553,0.0034061000154822726
15109,SECONDARY,2021-02-15,2021-03-05,21.383433968106516,3227,0.006626412757392785
15109,SECONDARY,2021-03-05,2021-03-12,21.383433968106516,3227,0.006626412757392785
15109,SECONDARY,2021-03-12,2021-03-19,8.793187799969036,3227,0.0027248800123858183
15109,SECONDARY,2021-03-19,2021-03-26,6.494968261340765,3227,0.0020126954636940702
15109,SECONDARY,2021-03-26,2021-04-09,6.494968261340765,3227,0.0020126954636940702
15109,SECONDARY,2021-04-09,2021-04-18,6.494968261340765,3227,0.0020126954636940702
15109,SECONDARY,2021-04-18,2021-04-26,18.88536925220622,3227,0.005852299117510449
15109,SECONDARY,2021-05-10,2021-05-24,18.88536925220622,3227,0.005852299117510449
15114,SECONDARY,2021-02-15,2021-03-05,0.06391082210868557,86,0.0007431490942870415
15114,SECONDARY,2021-03-05,2021-03-12,0.06391082210868557,86,0.0007431490942870415
15114,SECONDARY,2021-03-12,2021-03-19,0.11983279145378542,86,0.0013934045517882026
15114,SECONDARY,2021-03-19,2021-03-26,0.11983279145378542,86,0.0013934045517882026
15114,SECONDARY,2021-03-26,2021-04-09,0.11983279145378542,86,0.0013934045517882026
15114,SECONDARY,2021-04-09,2021-04-18,0.11983279145378542,86,0.0013934045517882026
15114,SECONDARY,2021-04-18,2021-04-26,0.11983279145378542,86,0.0013934045517882026
15114,SECONDARY,2021-05-10,2021-05-24,0.11983279145378542,86,0.0013934045517882026
15114,UNIVERSITY,2021-02-15,2021-03-05,0.015502597810213297,1,0.015502597810213297
15114,UNIVERSITY,2021-03-05,2021-03-12,0.015502597810213297,1,0.015502597810213297
15114,UNIVERSITY,2021-03-12,2021-03-19,0.016564768868817716,1,0.016564768868817716
15114,UNIVERSITY,2021-03-19,2021-03-26,0.01723659397640052,1,0.01723659397640052
15114,UNIVERSITY,2021-03-26,2021-04-09,0.022023023628011215,1,0.022023023628011215
15114,UNIVERSITY,2021-04-09,2021-04-18,0.022215622138582733,1,0.022215622138582733
15114,UNIVERSITY,2021-04-18,2021-04-26,0.021870630867121293,1,0.021870630867121293
15114,UNIVERSITY,2021-05-10,2021-05-24,0.021870630867121293,1,0.021870630867121293
15131,SECONDARY,2021-02-15,2021-03-05,210.60046446818393,15014,0.014026939154667906
15131,SECONDARY,2021-03-05,2021-03-12,210.60046446818393,15014,0.014026939154667906
15131,SECONDARY,2021-03-12,2021-03-19,210.60046446818393,15014,0.014026939154667906
15131,SECONDARY,2021-03-19,2021-03-26,210.60046446818393,15014,0.014026939154667906
15131,SECONDARY,2021-03-26,2021-04-09,210.60046446818393,15014,0.014026939154667906
15131,SECONDARY,2021-04-09,2021-04-18,210.60046446818393,15014,0.014026939154667906
15131,SECONDARY,2021-04-18,2021-04-26,176.6626412757393,15014,0.011766527326211489
15131,SECONDARY,2021-05-10,2021-05-24,176.6626412757393,15014,0.011766527326211489
15131,UNIVERSITY,2021-02-15,2021-03-05,0.015502597810213297,1,0.015502597810213297
15131,UNIVERSITY,2021-03-05,2021-03-12,0.015502597810213297,1,0.015502597810213297
15131,UNIVERSITY,2021-03-12,2021-03-19,0.016564768868817716,1,0.016564768868817716
15131,UNIVERSITY,2021-03-19,2021-03-26,0.01723659397640052,1,0.01723659397640052
15131,UNIVERSITY,2021-03-26,2021-04-09,0.022023023628011215,1,0.022023023628011215
15131,UNIVERSITY,2021-04-09,2021-04-18,0.022215622138582733,1,0.022215622138582733
15131,UNIVERSITY,2021-04-18,2021-04-26,0.021870630867121293,1,0.021870630867121293
15131,UNIVERSITY,2021-05-10,2021-05-24,0.021870630867121293,1,0.021870630867121293
15135,SECONDARY,2021-02-15,2021-03-05,1.3153738968880633,177,0.007431490942870414
15135,SECONDARY,2021-03-05,2021-03-12,1.3153738968880633,177,0.007431490942870414
15135,SECONDARY,2021-03-12,2021-03-19,1.3153738968880633,177,0.007431490942870414
15135,SECONDARY,2021-03-19,2021-03-26,1.3153738968880633,177,0.007431490942870414
15135,SECONDARY,2021-03-26,2021-04-09,1.3153738968880633,177,0.007431490942870414
15135,SECONDARY,2021-04-09,2021-04-18,1.3153738968880633,177,0.007431490942870414
15135,SECONDARY,2021-04-18,2021-04-26,1.3153738968880633,177,0.007431490942870414
15135,SECONDARY,2021-05-10,2021-05-24,1.3153738968880633,177,0.007431490942870414
15162,SECONDARY,2021-02-15,2021-03-05,3.217092429168602,702,0.004582752748103422
15162,SECONDARY,2021-03-05,2021-03-12,3.217092429168602,702,0.004582752748103422
15162,SECONDARY,2021-03-12,2021-03-19,3.217092429168602,702,0.004582752748103422
15162,SECONDARY,2021-03-19,2021-03-26,3.217092429168602,702,0.004582752748103422
15162,SECONDARY,2021-03-26,2021-04-09,2.0432884347422204,702,0.002910667285957579
15162,SECONDARY,2021-04-09,2021-04-18,2.0432884347422204,702,0.002910667285957579
15162,SECONDARY,2021-04-18,2021-04-26,2.0432884347422204,702,0.002910667285957579
15162,SECONDARY,2021-05-10,2021-05-24,2.0432884347422204,702,0.002910667285957579
15162,UNIVERSITY,2021-02-15,2021-03-05,0.031005195620426595,2,0.015502597810213297
15162,UNIVERSITY,2021-03-05,2021-03-12,0.031005195620426595,2,0.015502597810213297
15162,UNIVERSITY,2021-03-12,2021-03-19,0.03312953773763543,2,0.016564768868817716
15162,UNIVERSITY,2021-03-19,2021-03-26,0.03447318795280104,2,0.01723659397640052
15162,UNIVERSITY,2021-03-26,2021-04-09,0.04404604725602243,2,0.022023023628011215
15162,UNIVERSITY,2021-04-09,2021-04-18,0.044431244277165466,2,0.022215622138582733
15162,UNIVERSITY,2021-04-18,2021-04-26,0.04374126173424259,2,0.021870630867121293
15162,UNIVERSITY,2021-05-10,2021-05-24,0.04374126173424259,2,0.021870630867121293
15172,SECONDARY,2021-02-15,2021-03-05,12.067254993032975,552,0.02186096919027713
15172,SECONDARY,2021-03-05,2021-03-12,1.8801672085462144,552,0.0034061000154822726
15172,SECONDARY,2021-03-12,2021-03-19,1.8801672085462144,552,0.0034061000154822726
15172,SECONDARY,2021-03-19,2021-03-26,1.8801672085462144,552,0.0034061000154822726
15172,SECONDARY,2021-03-26,2021-04-09,1.8801672085462144,552,0.0034061000154822726
15172,SECONDARY,2021-04-09,2021-04-18,1.8801672085462144,552,0.0034061000154822726
