CODE,Grade,InPerson,Total_students,zipcode,Capacity,start_date,end_date
111001098922,PRIMARY,0,439,005679,0,2021-02-15,2021-03-05
111001098931,SECONDARY,0,1458,005669,0,2021-02-15,2021-03-05
111001098965,PREK,0,270,001412,0,2021-02-15,2021-03-05
111001098965,PRIMARY,18,570,001412,0.031578947368421054,2021-02-15,2021-03-05
111001098965,SECONDARY,0,796,001412,0,2021-02-15,2021-03-05
111001100013,PREK,8.200000000000001,154,002456,0.05324675324675325,2021-02-15,2021-03-05
111001100013,PRIMARY,36.4,615,002456,0.059186991869918694,2021-02-15,2021-03-05
111001100021,PREK,7.2,31,002437,0.23225806451612904,2021-02-15,2021-03-05
111001100021,SECONDARY,45.800000000000004,839,002437,0.054588796185935644,2021-02-15,2021-03-05
111001100030,PRIMARY,78.2,169,003202,0.4627218934911243,2021-02-15,2021-03-05
111001100056,PREK,12.4,77,004615,0.16103896103896104,2021-02-15,2021-03-05
111001100056,PRIMARY,65.2,570,004615,0.1143859649122807,2021-02-15,2021-03-05
111001100056,SECONDARY,75.2,712,004615,0.10561797752808989,2021-02-15,2021-03-05
111001100064,PREK,6.4,24,004546,0.26666666666666666,2021-02-15,2021-03-05
111001100064,PRIMARY,42.800000000000004,190,004546,0.22526315789473686,2021-02-15,2021-03-05
111001100064,SECONDARY,57,181,004546,0.3149171270718232,2021-02-15,2021-03-05
111001100072,PREK,11.4,56,004637,0.20357142857142857,2021-02-15,2021-03-05
111001100072,PRIMARY,49.400000000000006,125,004637,0.39520000000000005,2021-02-15,2021-03-05
111001100081,PREK,0,160,002529,0,2021-02-15,2021-03-05
111001100081,PRIMARY,30.6,324,002529,0.09444444444444444,2021-02-15,2021-03-05
111001102008,PREK,0,140,002589,0,2021-02-15,2021-03-05
111001102008,PRIMARY,0,494,002589,0,2021-02-15,2021-03-05
111001102008,SECONDARY,57.400000000000006,413,002589,0.13898305084745763,2021-02-15,2021-03-05
111001102199,PREK,0,150,006408,0,2021-02-15,2021-03-05
111001102199,PRIMARY,0,681,006408,0,2021-02-15,2021-03-05
111001102199,SECONDARY,0,1372,006408,0,2021-02-15,2021-03-05
111001104043,PREK,3.4000000000000004,16,009229,0.21250000000000002,2021-02-15,2021-03-05
111001104043,PRIMARY,12.200000000000001,309,009229,0.039482200647249194,2021-02-15,2021-03-05
111001104051,PREK,0,314,004631,0,2021-02-15,2021-03-05
111001104051,PRIMARY,2.4000000000000004,1243,004631,0.001930812550281577,2021-02-15,2021-03-05
111001104051,SECONDARY,7.6000000000000005,1170,004631,0.006495726495726497,2021-02-15,2021-03-05
111001107883,PREK,14.600000000000001,204,004520,0.0715686274509804,2021-02-15,2021-03-05
111001800384,PRIMARY,41.2,472,205319,0.08728813559322035,2021-02-15,2021-03-05
111001800392,PREK,4.4,200,004616,0.022000000000000002,2021-02-15,2021-03-05
111001800392,PRIMARY,14.4,315,004616,0.045714285714285714,2021-02-15,2021-03-05
111001800422,SECONDARY,88.2,1663,002422,0.053036680697534574,2021-02-15,2021-03-05
111001800431,PREK,4,126,004316,0.031746031746031744,2021-02-15,2021-03-05
111001800431,PRIMARY,10,459,004316,0.02178649237472767,2021-02-15,2021-03-05
111001800457,PREK,33,302,004575,0.10927152317880795,2021-02-15,2021-03-05
111001800457,PRIMARY,55.400000000000006,1304,004575,0.04248466257668712,2021-02-15,2021-03-05
111001800457,SECONDARY,72.4,1573,004575,0.04602670057215512,2021-02-15,2021-03-05
